join_month,cohort_size,publish_rate,retention_30d,monetization_open_rate
2025-04,1692,0.8504728132387707,0.45456199763593386,0.5767894371091036
2025-05,1699,0.8410829899941142,0.46186780459093585,0.5836249125262422
2025-06,1678,0.8355184743742551,0.4539457091775924,0.5813124108416547
2025-07,1750,0.8274285714285714,0.4568797142857143,0.5649171270718232
2025-08,1677,0.8002385211687537,0.4514728682170543,0.6035767511177347
2025-09,1734,0.8183391003460208,0.45025576701268744,0.5842142353770261
2025-10,1707,0.7879320445225542,0.449216813122437,0.5754646840148699
2025-11,1713,0.7985989492119089,0.4565060128429656,0.5884502923976608
2025-12,1751,0.7772701313535123,0.44525014277555686,0.5664952240999265
2026-01,1745,0.7587392550143266,0.44841277936962753,0.5800604229607251
2026-02,1542,0.7730220492866408,0.45739513618677047,0.6006711409395973
2026-03,54,0.7037037037037037,0.47147777777777783,0.631578947368421
